Power dependence  experiment 

Parameters:
Wavelength [nm]: 852.000000
Integration time [ms]: 100.000000
Threshold [V]: -0.200000
Beam diameter [um]: 1.100000

Power [mW] 	Power density [W/cm^2] 	Intensity (1Ch) [counts] 	Intensity (1Ch) [cps] 	Intensity (2Ch) [counts] 	Intensity (2Ch) [cps] 
17.904453	1884021.221316	2896414.500000	28964145.000000	3281383.000000	32813830.000000
18.336325	1929465.548048	3053400.000000	30534000.000000	3476081.000000	34760810.000000
18.789440	1977145.218605	3257772.000000	32577720.000000	3745577.500000	37455775.000000
19.263218	2026999.112241	3406910.500000	34069105.000000	3940615.000000	39406150.000000
19.709818	2073993.309079	3529823.500000	35298235.000000	4103018.500000	41030185.000000
20.175422	2122987.093774	3720479.000000	37204790.000000	4358200.000000	43582000.000000
20.265248	2132439.198937	4119525.000000	41195250.000000	4100995.000000	41009950.000000
20.707701	2178996.861771	4305930.000000	43059300.000000	4278475.000000	42784750.000000
21.222802	2233199.120894	4618645.000000	46186450.000000	4581925.000000	45819250.000000
21.726743	2286227.000946	4964000.000000	49640000.000000	4847295.000000	48472950.000000
22.223505	2338499.512767	5270425.000000	52704250.000000	5187295.000000	51872950.000000
22.739976	2392845.871822	5479695.000000	54796950.000000	5450030.000000	54500300.000000
23.320922	2453976.790411	5899595.000000	58995950.000000	5805075.000000	58050750.000000
23.900250	2514937.394972	6272235.000000	62722350.000000	6207295.000000	62072950.000000
24.509244	2579019.614242	6706840.000000	67068400.000000	6582400.000000	65824000.000000
25.122056	2643503.572932	7120110.000000	71201100.000000	7058910.000000	70589100.000000
25.780217	2712759.498033	7567635.000000	75676350.000000	7482550.000000	74825500.000000
26.452649	2783517.111349	8037685.000000	80376850.000000	8026975.000000	80269750.000000
27.104793	2852139.900693	8487845.000000	84878450.000000	8459795.000000	84597950.000000
27.786187	2923840.567122	8910635.000000	89106350.000000	8875105.000000	88751050.000000
28.464387	2995205.082249	9376435.000000	93764350.000000	9345580.000000	93455800.000000
