TCSPC experiment 

Parameters:
Wavelength [nm]: 852.000000
Exposure time [s]: 100.000000
Threshold [V]: -0.200000
Beam power [mW]: 4.351101
Beam power density [W/cm^2]: 457850.687500
Beam diameter [um]: 1.100000

Time [s] 	Intensity (1Ch) [counts] 	Intensity (1Ch) [cps] 	Intensity (2Ch) [counts] 	Intensity (1Ch) [cps] 
0.072650	0.000000	0.000000	1.000000	0.000200
0.072700	2.000000	0.000400	0.000000	0.000000
0.072750	6.000000	0.001200	0.000000	0.000000
0.072800	1.000000	0.000200	0.000000	0.000000
0.072850	1.000000	0.000200	0.000000	0.000000
0.072900	1.000000	0.000200	0.000000	0.000000
0.072950	1.000000	0.000200	0.000000	0.000000
0.073000	2.000000	0.000400	0.000000	0.000000
0.073050	0.000000	0.000000	0.000000	0.000000
0.073100	0.000000	0.000000	0.000000	0.000000
0.073150	1.000000	0.000200	2.000000	0.000400
0.073200	1.000000	0.000200	0.000000	0.000000
0.073250	0.000000	0.000000	0.000000	0.000000
0.073300	1.000000	0.000200	1.000000	0.000200
0.073350	2.000000	0.000400	1.000000	0.000200
0.073400	1.000000	0.000200	1.000000	0.000200
0.073450	0.000000	0.000000	0.000000	0.000000
0.073500	1.000000	0.000200	1.000000	0.000200
0.073550	0.000000	0.000000	0.000000	0.000000
0.073600	0.000000	0.000000	0.000000	0.000000
0.073650	2.000000	0.000400	0.000000	0.000000
0.073700	0.000000	0.000000	0.000000	0.000000
0.073750	0.000000	0.000000	0.000000	0.000000
0.073800	1.000000	0.000200	0.000000	0.000000
0.073850	0.000000	0.000000	1.000000	0.000200
0.073900	2.000000	0.000400	0.000000	0.000000
0.073950	0.000000	0.000000	0.000000	0.000000
0.074000	0.000000	0.000000	0.000000	0.000000
0.074050	0.000000	0.000000	0.000000	0.000000
0.074100	2.000000	0.000400	1.000000	0.000200
0.074150	1.000000	0.000200	0.000000	0.000000
0.074200	0.000000	0.000000	0.000000	0.000000
0.074250	0.000000	0.000000	0.000000	0.000000
